Timestamp	What is your occupation?	How many GitHub projects have you contributed/involved in the past 2 year? 	How frequent do you use GitHub (the number indicates average visits per month)?	How do you rate the following 3 factors in terms of indicating project impact _as a measure of how attractive the project is to GitHub users_?  [Fork]	How do you rate the following 3 factors in terms of indicating project impact _as a measure of how attractive the project is to GitHub users_?  [Star]	How do you rate the following 3 factors in terms of indicating project impact _as a measure of how attractive the project is to GitHub users_?  [Watch]	What are the other factors in GitHub do you think affect project impact (you can choose more than one answer)?
3/1/2018 19:39:50	IT Project Manager/Team Lead	>=4	>=30 (almost everyday)	4	4	4	"Organization, Documentation, Commit frequency"
2/2/2018 16:45:51	PhD student	>=4	>=30 (almost everyday)	4	2	2	"Documentation, Commit frequency, Release frequency, Development framework/package"
1/23/2018 12:47:45	Programmer	>=4	>=30 (almost everyday)	5 (Strong Indication)	2	3	"Documentation, Release frequency, Development framework/package"
1/26/2018 14:00:04	Quant 	0-1	5-14 (Once a week)	3	5 (Strong Indication)	3	Documentation
1/18/2018 11:06:36	Researcher	>=4	15-29 (Every other day)	5 (Strong Indication)	4	5 (Strong Indication)	"Organization, Release frequency, Development framework/package"
1/24/2018 4:10:32	Researcher	>=4	>=30 (almost everyday)	5 (Strong Indication)	1 (Little or no indication)	3	"Organization, Documentation, Commit frequency, Release frequency"
1/26/2018 13:25:08	Researcher	0-1	0-4 (Seldom)	3	5 (Strong Indication)	5 (Strong Indication)	"Organization, Documentation, Development framework/package"
1/26/2018 13:43:07	Researcher	2-3	5-14 (Once a week)	5 (Strong Indication)	5 (Strong Indication)	3	"Documentation, Release frequency"
1/26/2018 13:44:49	Researcher	0-1	5-14 (Once a week)	3	5 (Strong Indication)	4	"Organization, Documentation, Commit frequency, Release frequency, Development framework/package"
1/26/2018 13:49:40	Researcher	>=4	15-29 (Every other day)	5 (Strong Indication)	4	3	"Organization, Documentation"
1/26/2018 14:13:00	Researcher	>=4	5-14 (Once a week)	5 (Strong Indication)	5 (Strong Indication)	3	"Organization, Documentation"
1/26/2018 14:30:34	Researcher	2-3	15-29 (Every other day)	4	5 (Strong Indication)	4	"Documentation, Commit frequency, Release frequency"
1/26/2018 15:41:13	Researcher	2-3	>=30 (almost everyday)	5 (Strong Indication)	4	5 (Strong Indication)	"Documentation, Commit frequency"
1/26/2018 18:31:27	Researcher	0-1	0-4 (Seldom)	4	4	4	"Documentation, Commit frequency, Development framework/package"
1/27/2018 19:39:24	Researcher	>=4	5-14 (Once a week)	4	3	5 (Strong Indication)	"Documentation, Commit frequency"
1/28/2018 20:14:41	Researcher	>=4	15-29 (Every other day)	2	3	4	"Organization, Documentation, Development framework/package"
1/30/2018 0:26:18	Researcher	2-3	>=30 (almost everyday)	2	4	3	"Documentation, Commit frequency, Release frequency, number of contributors"
1/30/2018 7:39:52	Researcher	2-3	>=30 (almost everyday)	2	3	4	"Organization, Documentation, Release frequency"
1/31/2018 2:05:22	Researcher	>=4	5-14 (Once a week)	1 (Little or no indication)	1 (Little or no indication)	1 (Little or no indication)	
1/31/2018 9:56:12	Researcher	2-3	5-14 (Once a week)	5 (Strong Indication)	2	1 (Little or no indication)	Documentation
1/31/2018 19:39:03	Researcher	>=4	15-29 (Every other day)	3	3	5 (Strong Indication)	"Organization, Commit frequency"
2/1/2018 18:59:55	Researcher	>=4	>=30 (almost everyday)	4	2	5 (Strong Indication)	"Commit frequency, number of contributors"
2/2/2018 3:05:17	Researcher	>=4	>=30 (almost everyday)	5 (Strong Indication)	3	4	"Documentation, Commit frequency"
2/2/2018 12:57:43	Researcher	>=4	15-29 (Every other day)	4	5 (Strong Indication)	4	"Organization, Documentation, Commit frequency"
2/2/2018 17:13:59	Researcher	>=4	>=30 (almost everyday)	3	5 (Strong Indication)	4	"Documentation, Cummunity & Support"
2/6/2018 13:32:02	Researcher	2-3	5-14 (Once a week)	2	4	4	"Commit frequency, Release frequency, Development framework/package"
2/6/2018 18:07:37	Researcher	>=4	>=30 (almost everyday)	5 (Strong Indication)	3	4	"Organization, Documentation, Size of team (number of active contributors)"
2/9/2018 23:29:13	Researcher	2-3	0-4 (Seldom)	3	4	4	"Organization, Development framework/package, dependencies within other projects"
2/9/2018 23:41:36	Researcher	>=4	5-14 (Once a week)	5 (Strong Indication)	2	4	"Organization, Documentation, Commit frequency"
2/10/2018 0:48:24	Researcher	>=4	>=30 (almost everyday)	5 (Strong Indication)	4	3	Commit frequency
2/10/2018 3:18:38	Researcher	>=4	15-29 (Every other day)	5 (Strong Indication)	4	2	"Documentation, Commit frequency"
2/11/2018 0:49:14	Researcher	>=4	15-29 (Every other day)	5 (Strong Indication)	4	3	"Documentation, Commit frequency"
2/12/2018 18:13:45	Researcher	>=4	15-29 (Every other day)	3	2	2	"Documentation, Commit frequency, Release frequency, Code Examples / Tutorials"
2/12/2018 21:43:32	Researcher	>=4	5-14 (Once a week)	4	2	3	"Documentation, Commit frequency"
2/13/2018 9:35:29	Researcher	>=4	>=30 (almost everyday)	4	2	2	"Organization, Documentation"
2/12/2018 9:50:04	Senior Technical Specialist	0-1	0-4 (Seldom)	1 (Little or no indication)	1 (Little or no indication)	1 (Little or no indication)	"Organization, Documentation"
2/7/2018 16:00:58	Site Reliability Engineer	>=4	>=30 (almost everyday)	3	2	4	"Organization, Documentation, Commit frequency, Release frequency"
1/30/2018 6:43:25	Software Architect	>=4	>=30 (almost everyday)	3	2	2	"Organization, Documentation, Commit frequency, Number of active developers. Ratio of open issues to total issues. Age of open issues."
2/17/2018 13:36:37	Software consultant	>=4	>=30 (almost everyday)	3	1 (Little or no indication)	2	"Organization, Documentation, Issue volume/response speed"
1/24/2018 5:42:12	software developer (not IT related)	2-3	>=30 (almost everyday)	3	3	3	"Organization, Documentation, Commit frequency, Development framework/package"
#1/2/2018  6:55:38 AM	Spammer hater	>=4	0-4 (Seldom)	5 (Strong Indication)	4	3	Fuck off and stop spamming surveys to people
1/17/2018 13:07:38	Student	0-1	0-4 (Seldom)	4	5 (Strong Indication)	4	"Release frequency, Development framework/package"
1/21/2018 0:40:25	Student	>=4	0-4 (Seldom)	4	5 (Strong Indication)	4	"Commit frequency, Development framework/package"
1/25/2018 20:24:17	Student	>=4	15-29 (Every other day)	2	5 (Strong Indication)	3	"Organization, Documentation"
1/26/2018 13:36:52	Student	2-3	5-14 (Once a week)	4	5 (Strong Indication)	3	"Documentation, Development framework/package"
1/26/2018 13:38:02	Student	0-1	0-4 (Seldom)	4	5 (Strong Indication)	5 (Strong Indication)	"Organization, Documentation"
1/26/2018 13:39:02	Student	0-1	0-4 (Seldom)	3	3	3	Documentation
1/26/2018 13:50:56	Student	0-1	0-4 (Seldom)	5 (Strong Indication)	4	5 (Strong Indication)	"Commit frequency, Development framework/package"
1/26/2018 14:07:16	Student	0-1	15-29 (Every other day)	5 (Strong Indication)	4	3	"Organization, Documentation, Release frequency, Development framework/package"
1/26/2018 14:15:19	Student	2-3	15-29 (Every other day)	4	5 (Strong Indication)	2	"Organization, Documentation, Commit frequency, Release frequency"
1/26/2018 16:44:14	Student	0-1	15-29 (Every other day)	3	4	4	"Organization, Commit frequency, Development framework/package"
1/26/2018 23:08:39	Student	>=4	>=30 (almost everyday)	4	3	1 (Little or no indication)	"Organization, Documentation, Release frequency"
1/28/2018 12:06:32	Student	>=4	5-14 (Once a week)	4	5 (Strong Indication)	5 (Strong Indication)	"Documentation, Commit frequency, Release frequency"
1/28/2018 13:16:12	Student	>=4	>=30 (almost everyday)	3	5 (Strong Indication)	1 (Little or no indication)	"Documentation, Commit frequency"
1/28/2018 17:27:59	Student	>=4	15-29 (Every other day)	3	4	4	"Organization, Documentation, Commit frequency, Release frequency, Development framework/package"
1/31/2018 18:03:30	Student	>=4	>=30 (almost everyday)	5 (Strong Indication)	3	4	"Commit frequency, Release frequency"
2/2/2018 0:21:24	Student	>=4	>=30 (almost everyday)	1 (Little or no indication)	2	1 (Little or no indication)	"Organization, Documentation, Commit frequency, Release frequency"
2/2/2018 8:20:02	Student	0-1	15-29 (Every other day)	5 (Strong Indication)	3	3	"Commit frequency, Release frequency"
2/5/2018 13:43:47	Student	2-3	5-14 (Once a week)	5 (Strong Indication)	3	5 (Strong Indication)	"Documentation, Commit frequency"
2/10/2018 5:57:58	Student	>=4	>=30 (almost everyday)	4	5 (Strong Indication)	5 (Strong Indication)	
2/11/2018 15:44:33	Student	>=4	15-29 (Every other day)	3	5 (Strong Indication)	4	"Organization, Documentation, Commit frequency"
2/13/2018 3:47:12	Student	>=4	15-29 (Every other day)	4	2	4	"Documentation, Release frequency, Development framework/package"
2/13/2018 19:48:12	Student	>=4	15-29 (Every other day)	5 (Strong Indication)	3	3	"Documentation, Commit frequency, Release frequency, Development framework/package"
2/13/2018 21:38:22	Student	0-1	0-4 (Seldom)	3	3	4	"Commit frequency, Release frequency"
2/14/2018 16:21:56	Student	>=4	5-14 (Once a week)	3	4	5 (Strong Indication)	"Documentation, Commit frequency, Development framework/package"
2/27/2018 19:15:56	Student	>=4	>=30 (almost everyday)	3	3	3	"Organization, Documentation, Commit frequency, Release frequency, Development framework/package, Be developped by famous person"
#25/1/2018  8:38:27 PM	take me off your fucking email list	>=4	>=30 (almost everyday)	5 (Strong Indication)	5 (Strong Indication)	5 (Strong Indication)	take me off your fucking email list
